player_id,player_name,teams,positions,first_seen,last_seen,appearances,starts,birth_date,zodiac,dob_source,dob_verified
1605,Daniel Podence,Wolves,M,2024-08-17 14:00:00+00:00,2024-08-25 13:00:00+00:00,2,0,,,,False
275170,Danilo,Nottingham Forest,M,2024-08-17 14:00:00+00:00,2024-08-17 14:00:00+00:00,1,1,,,,False
18955,Danny Ings,West Ham,F,2024-08-17 16:30:00+00:00,2024-11-02 15:00:00+00:00,4,0,,,,False
18146,Danny Ward,Leicester,G,2024-08-19 19:00:00+00:00,2024-11-02 15:00:00+00:00,0,0,,,,False
1469,Danny Welbeck,Brighton,F,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
17597,Dara O'Shea,Ipswich,D,2024-08-31 14:00:00+00:00,2024-11-02 15:00:00+00:00,7,7,,,,False
51617,Darwin Núñez,Liverpool,F,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,7,3,,,,False
18870,David Brooks,Bournemouth,M,2024-08-31 14:00:00+00:00,2024-11-02 15:00:00+00:00,3,0,,,,False
19465,David Raya,Arsenal,G,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,10,10,,,,False
19088,Dean Henderson,Crystal Palace,G,2024-08-18 13:00:00+00:00,2024-11-02 17:30:00+00:00,10,10,,,,False
361497,Dean Huijsen,Bournemouth,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,4,2,,,,False
2937,Declan Rice,Arsenal,M,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,9,9,,,,False
30435,Dejan Kulusevski,Tottenham,F | M,2024-08-19 19:00:00+00:00,2024-10-27 13:00:00+00:00,9,8,,,,False
204039,Destiny Udogie,Tottenham,D,2024-08-19 19:00:00+00:00,2024-10-27 13:00:00+00:00,9,9,,,,False
21090,Diego Carlos,Aston Villa,D,2024-08-17 16:30:00+00:00,2024-10-26 14:00:00+00:00,4,3,,,,False
886,Diogo Dalot,Manchester United,D,2024-08-16 19:00:00+00:00,2024-10-27 13:00:00+00:00,9,9,,,,False
2678,Diogo Jota,Liverpool,F,2024-08-17 11:30:00+00:00,2024-10-20 15:30:00+00:00,7,7,,,,False
19235,Djed Spence,Tottenham,D,2024-08-19 19:00:00+00:00,2024-10-06 15:30:00+00:00,3,0,,,,False
18766,Dominic Calvert-Lewin,Everton,F,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
18883,Dominic Solanke,Tottenham,F,2024-08-19 19:00:00+00:00,2024-10-27 13:00:00+00:00,7,7,,,,False
1096,Dominik Szoboszlai,Liverpool,M,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,10,8,,,,False
18929,Dwight McNeil,Everton,M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
19586,Eberechi Eze,Crystal Palace,F,2024-08-18 13:00:00+00:00,2024-10-27 13:00:00+00:00,9,9,,,,False
617,Ederson,Manchester City,G,2024-08-18 15:30:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
2869,Edson Álvarez,West Ham,D | M,2024-08-24 14:00:00+00:00,2024-11-02 15:00:00+00:00,8,5,,,,False
1468,Edward Nketiah,Arsenal | Crystal Palace,F,2024-08-17 14:00:00+00:00,2024-11-02 17:30:00+00:00,7,6,,,,False
138908,Elliot Anderson,Nottingham Forest,M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,8,,,,False
2284,Emerson Palmieri,West Ham,D | M,2024-08-17 16:30:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
